date_time,electricity
01/01/2019 00:00,0.503
01/01/2019 01:00,0.529
01/01/2019 02:00,0.551
01/01/2019 03:00,0.598
01/01/2019 04:00,0.65
01/01/2019 05:00,0.671
01/01/2019 06:00,0.681
01/01/2019 07:00,0.664
01/01/2019 08:00,0.634
01/01/2019 09:00,0.561
01/01/2019 10:00,0.527
01/01/2019 11:00,0.571
01/01/2019 12:00,0.608
01/01/2019 13:00,0.608
01/01/2019 14:00,0.611
01/01/2019 15:00,0.692
01/01/2019 16:00,0.739
01/01/2019 17:00,0.766
01/01/2019 18:00,0.776
01/01/2019 19:00,0.784
01/01/2019 20:00,0.771
01/01/2019 21:00,0.739
01/01/2019 22:00,0.746
01/01/2019 23:00,0.75
02/01/2019 00:00,0.774
02/01/2019 01:00,0.77
02/01/2019 02:00,0.757
02/01/2019 03:00,0.723
02/01/2019 04:00,0.676
02/01/2019 05:00,0.64
02/01/2019 06:00,0.605
02/01/2019 07:00,0.59
02/01/2019 08:00,0.557
02/01/2019 09:00,0.527
02/01/2019 10:00,0.466
02/01/2019 11:00,0.507
02/01/2019 12:00,0.492
02/01/2019 13:00,0.424
02/01/2019 14:00,0.386
02/01/2019 15:00,0.404
02/01/2019 16:00,0.4
02/01/2019 17:00,0.358
02/01/2019 18:00,0.312
02/01/2019 19:00,0.279
02/01/2019 20:00,0.27
02/01/2019 21:00,0.27
02/01/2019 22:00,0.271
02/01/2019 23:00,0.277
03/01/2019 00:00,0.274
03/01/2019 01:00,0.266
03/01/2019 02:00,0.264
03/01/2019 03:00,0.279
03/01/2019 04:00,0.3
03/01/2019 05:00,0.311
03/01/2019 06:00,0.314
03/01/2019 07:00,0.321
03/01/2019 08:00,0.311
03/01/2019 09:00,0.269
03/01/2019 10:00,0.21
03/01/2019 11:00,0.249
03/01/2019 12:00,0.256
03/01/2019 13:00,0.221
03/01/2019 14:00,0.22
03/01/2019 15:00,0.265
03/01/2019 16:00,0.299
03/01/2019 17:00,0.305
03/01/2019 18:00,0.284
03/01/2019 19:00,0.236
03/01/2019 20:00,0.207
03/01/2019 21:00,0.229
03/01/2019 22:00,0.239
03/01/2019 23:00,0.213
04/01/2019 00:00,0.192
04/01/2019 01:00,0.186
04/01/2019 02:00,0.203
04/01/2019 03:00,0.22
04/01/2019 04:00,0.259
04/01/2019 05:00,0.315
04/01/2019 06:00,0.349
04/01/2019 07:00,0.367
04/01/2019 08:00,0.388
04/01/2019 09:00,0.392
04/01/2019 10:00,0.388
04/01/2019 11:00,0.401
04/01/2019 12:00,0.404
04/01/2019 13:00,0.401
04/01/2019 14:00,0.388
04/01/2019 15:00,0.388
04/01/2019 16:00,0.367
04/01/2019 17:00,0.367
04/01/2019 18:00,0.358
04/01/2019 19:00,0.346
04/01/2019 20:00,0.344
04/01/2019 21:00,0.352
04/01/2019 22:00,0.378
04/01/2019 23:00,0.412
05/01/2019 00:00,0.442
05/01/2019 01:00,0.479
05/01/2019 02:00,0.544
05/01/2019 03:00,0.58
05/01/2019 04:00,0.599
05/01/2019 05:00,0.634
05/01/2019 06:00,0.637
05/01/2019 07:00,0.644
05/01/2019 08:00,0.646
05/01/2019 09:00,0.635
05/01/2019 10:00,0.623
05/01/2019 11:00,0.609
05/01/2019 12:00,0.546
05/01/2019 13:00,0.535
05/01/2019 14:00,0.523
05/01/2019 15:00,0.519
05/01/2019 16:00,0.51
05/01/2019 17:00,0.501
05/01/2019 18:00,0.493
05/01/2019 19:00,0.46
05/01/2019 20:00,0.461
05/01/2019 21:00,0.467
05/01/2019 22:00,0.467
05/01/2019 23:00,0.463
06/01/2019 00:00,0.448
06/01/2019 01:00,0.413
06/01/2019 02:00,0.387
06/01/2019 03:00,0.381
06/01/2019 04:00,0.368
06/01/2019 05:00,0.345
06/01/2019 06:00,0.314
06/01/2019 07:00,0.291
06/01/2019 08:00,0.267
06/01/2019 09:00,0.22
06/01/2019 10:00,0.16
06/01/2019 11:00,0.128
06/01/2019 12:00,0.121
06/01/2019 13:00,0.113
06/01/2019 14:00,0.124
06/01/2019 15:00,0.142
06/01/2019 16:00,0.147
06/01/2019 17:00,0.156
06/01/2019 18:00,0.163
06/01/2019 19:00,0.149
06/01/2019 20:00,0.126
06/01/2019 21:00,0.114
06/01/2019 22:00,0.09
06/01/2019 23:00,0.082
07/01/2019 00:00,0.102
07/01/2019 01:00,0.131
07/01/2019 02:00,0.152
07/01/2019 03:00,0.178
07/01/2019 04:00,0.219
07/01/2019 05:00,0.278
07/01/2019 06:00,0.32
07/01/2019 07:00,0.346
07/01/2019 08:00,0.349
07/01/2019 09:00,0.321
07/01/2019 10:00,0.338
07/01/2019 11:00,0.422
07/01/2019 12:00,0.473
07/01/2019 13:00,0.532
07/01/2019 14:00,0.59
07/01/2019 15:00,0.636
07/01/2019 16:00,0.713
07/01/2019 17:00,0.711
07/01/2019 18:00,0.78
07/01/2019 19:00,0.812
07/01/2019 20:00,0.841
07/01/2019 21:00,0.874
07/01/2019 22:00,0.888
07/01/2019 23:00,0.887
08/01/2019 00:00,0.891
08/01/2019 01:00,0.904
08/01/2019 02:00,0.917
08/01/2019 03:00,0.933
08/01/2019 04:00,0.944
08/01/2019 05:00,0.953
08/01/2019 06:00,0.958
08/01/2019 07:00,0.956
08/01/2019 08:00,0.952
08/01/2019 09:00,0.953
08/01/2019 10:00,0.958
08/01/2019 11:00,0.963
08/01/2019 12:00,0.969
08/01/2019 13:00,0.968
08/01/2019 14:00,0.963
08/01/2019 15:00,0.958
08/01/2019 16:00,0.952
08/01/2019 17:00,0.943
08/01/2019 18:00,0.93
08/01/2019 19:00,0.912
08/01/2019 20:00,0.897
08/01/2019 21:00,0.885
08/01/2019 22:00,0.865
08/01/2019 23:00,0.849
09/01/2019 00:00,0.835
09/01/2019 01:00,0.812
09/01/2019 02:00,0.783
09/01/2019 03:00,0.733
09/01/2019 04:00,0.694
09/01/2019 05:00,0.666
09/01/2019 06:00,0.675
09/01/2019 07:00,0.7
09/01/2019 08:00,0.683
09/01/2019 09:00,0.609
09/01/2019 10:00,0.516
09/01/2019 11:00,0.63
09/01/2019 12:00,0.721
09/01/2019 13:00,0.706
09/01/2019 14:00,0.674
09/01/2019 15:00,0.642
09/01/2019 16:00,0.618
09/01/2019 17:00,0.616
09/01/2019 18:00,0.601
09/01/2019 19:00,0.578
09/01/2019 20:00,0.544
09/01/2019 21:00,0.479
09/01/2019 22:00,0.385
09/01/2019 23:00,0.333
10/01/2019 00:00,0.308
10/01/2019 01:00,0.273
10/01/2019 02:00,0.248
10/01/2019 03:00,0.237
10/01/2019 04:00,0.21
10/01/2019 05:00,0.171
10/01/2019 06:00,0.134
10/01/2019 07:00,0.096
10/01/2019 08:00,0.068
10/01/2019 09:00,0.045
10/01/2019 10:00,0.021
10/01/2019 11:00,0.017
10/01/2019 12:00,0.025
10/01/2019 13:00,0.042
10/01/2019 14:00,0.076
10/01/2019 15:00,0.121
10/01/2019 16:00,0.153
10/01/2019 17:00,0.157
10/01/2019 18:00,0.159
10/01/2019 19:00,0.176
10/01/2019 20:00,0.205
10/01/2019 21:00,0.234
10/01/2019 22:00,0.24
10/01/2019 23:00,0.228
11/01/2019 00:00,0.225
11/01/2019 01:00,0.227
11/01/2019 02:00,0.259
11/01/2019 03:00,0.339
11/01/2019 04:00,0.395
11/01/2019 05:00,0.376
11/01/2019 06:00,0.367
11/01/2019 07:00,0.345
11/01/2019 08:00,0.361
11/01/2019 09:00,0.374
11/01/2019 10:00,0.399
11/01/2019 11:00,0.457
11/01/2019 12:00,0.488
11/01/2019 13:00,0.526
11/01/2019 14:00,0.556
11/01/2019 15:00,0.574
11/01/2019 16:00,0.58
11/01/2019 17:00,0.568
11/01/2019 18:00,0.547
11/01/2019 19:00,0.542
11/01/2019 20:00,0.503
11/01/2019 21:00,0.485
11/01/2019 22:00,0.451
11/01/2019 23:00,0.433
12/01/2019 00:00,0.431
12/01/2019 01:00,0.442
12/01/2019 02:00,0.471
