time,electricity
01/01/2019 00:00,0.503
01/01/2019 01:00,0.529
01/01/2019 02:00,0.551
01/01/2019 03:00,0.598
01/01/2019 04:00,0.65
01/01/2019 05:00,0.671
01/01/2019 06:00,0.681
01/01/2019 07:00,0.664
01/01/2019 08:00,0.634
01/01/2019 09:00,0.561
01/01/2019 10:00,0.527
01/01/2019 11:00,0.571
01/01/2019 12:00,0.608
01/01/2019 13:00,0.608
01/01/2019 14:00,0.611
01/01/2019 15:00,0.692
01/01/2019 16:00,0.739
01/01/2019 17:00,0.766
01/01/2019 18:00,0.776
01/01/2019 19:00,0.784
01/01/2019 20:00,0.771
01/01/2019 21:00,0.739
01/01/2019 22:00,0.746
01/01/2019 23:00,0.75
